query,video_id,published_at,channel_id,title,description,channel_title,video_url,election_panel
macron,ny_Wren3DWU,2022-03-19T17:00:34Z,UCi1h68Fys0apnhLaJ-ijQOw,2017 : Le débat virulent entre Marine Le Pen et Emmanuel Macron | Archive INA,Abonnez-vous http://bit.ly/inapolitique 19/20 Edition nationale | France 3 | 04/05/2017 Reportage sur la teneur du débat télévisé ...,INA Politique,https://www.youtube.com/watch?v=ny_Wren3DWU,True
macron,s_Qe6LAl0_E,2022-03-18T17:00:12Z,UCFTOzGqZcje45yv7SSTkBBQ,"Notre projet pour 2022 | Emmanuel Macron, le Candidat – Épisode 3",Compte officiel de la campagne présidentielle d'Emmanuel Macron. ➡️ Abonnez-vous à notre chaîne pour retrouver chaque ...,Emmanuel Macron avec vous,https://www.youtube.com/watch?v=s_Qe6LAl0_E,True
macron,frN6IhkOcbQ,2022-03-18T07:00:10Z,UCT67YOMntJxfRnO_9bXDpvw,CAMPAGNE DE MACRON : DE L&#39;ARGENT LIQUIDE VENU D&#39;ALGÉRIE ?,"Le président français Emmanuel Macron a-t-il bénéficié, lors de son accession au pouvoir, du soutien discret d'un certain nombre ...",Le Média,https://www.youtube.com/watch?v=frN6IhkOcbQ,True
macron,B1MK3ueMJpw,2022-03-18T06:06:16Z,UCgGb7tN3tIH5_Kk05D1J_bA,"Jean-Marie : &quot;Autour de moi, personne n&#39;est favorable à Macron&quot;","RMC, la radio Info Talk Sport. Depuis deux décennies, c'est neuf heures d'information du lundi au vendredi, pour débattre et ...",RMC,https://www.youtube.com/watch?v=B1MK3ueMJpw,True
macron,iqDAbObtZgE,2022-03-17T18:39:36Z,UCXwDLMDV86ldKoFVc_g8P0g,Emmanuel Macron: la présentation de son programme pour la présidentielle en intégralité,Emmanuel Macron présente ce jeudi en conférence de presse son programme en tant que candidat à sa réélection.,BFMTV,https://www.youtube.com/watch?v=iqDAbObtZgE,True
macron,E9uD0A7i_SA,2022-03-17T18:34:53Z,UCfHn_8-ehdem86fEvlFg-Gw,🔴 EN DIRECT | Le candidat Emmanuel Macron dévoile son programme,Emmanuel Macron dévoile son programme à Aubervilliers (Seine-Saint-Denis). Suivez l'événement en direct #Macron ...,Le Parisien,https://www.youtube.com/watch?v=E9uD0A7i_SA,True
macron,MoL-p7dxGao,2022-03-17T18:33:07Z,UCFTOzGqZcje45yv7SSTkBBQ,EN DIRECT | Emmanuel Macron présente avec vous notre projet présidentiel pour la France,"Tous rassemblés autour d'Emmanuel Macron le 2 avril à Paris, inscrivez-vous ici : https://evenement.avecvous.fr/2-avril?p=y08 ...",Emmanuel Macron avec vous,https://www.youtube.com/watch?v=MoL-p7dxGao,True
macron,brwXybN9qiw,2022-03-17T18:24:57Z,UC9GGzAhhvhJO1hL10-BcgNA,"Accusé de faire du pillage de programme, Macron candidat &quot;s&#39;en fiche royalement&quot;",Les mesures présentées jeudi 17 mars ont fait hurler les opposants du président-candidat Macron. Il répond que c'est un ...,LeHuffPost,https://www.youtube.com/watch?v=brwXybN9qiw,True
macron,IRDi_mOXZZE,2022-03-17T16:41:27Z,UCCDz_XYeKWd0OIyjp95dqyQ,🔴Ce qu&#39;il faut retenir du programme d&#39;Emmanuel Macron,Emmanuel Macron a donné une conférence de presse ce jeudi 17 mars. Le président sortant a présenté son projet politique et ...,Figaro Live,https://www.youtube.com/watch?v=IRDi_mOXZZE,True
macron,mEILrJaozzM,2022-03-16T10:32:27Z,UCfHn_8-ehdem86fEvlFg-Gw,Photos d’Emmanuel Macron décontracté en sweat à capuche : &quot;Rien n’est laissé au hasard&quot;,"Ce sont quelques photos, mais qui ont beaucoup fait parler. Celles d'Emmanuel Macron, prises dimanche à l'Elysée, montrant le ...",Le Parisien,https://www.youtube.com/watch?v=mEILrJaozzM,True
macron,rMH3P0Y5hMI,2022-03-16T06:00:11Z,UCoRnHlbVByoYV6st5kPxOIQ,"[Zap Actu] La com ratée de Macron, Intervention d’une journaliste pendant les infos (16/03/22)",Un petit coup de pouce pour que la chaîne subsiste : TIPEEE https://fr.tipeee.com/zap-tele UTIP https://utip.io/zaptele La com ratée ...,Zap Télé Officiel,https://www.youtube.com/watch?v=rMH3P0Y5hMI,False
macron,BQIwtAexYBI,2022-03-15T17:00:05Z,UCEFGCs68E9Vr5te5qZuJsbg,"Ep. 06 | Macron l&#39;Algérien, En marche... vers le cash ?","Synopsis : En février 2017, en pleine campagne présidentielle, Emmanuel Macron se rend à Alger. Mais au lieu de rencontrer des ...",Off Investigation,https://www.youtube.com/watch?v=BQIwtAexYBI,True
macron,9_0nzc4hR0E,2022-03-15T09:56:17Z,UCFTOzGqZcje45yv7SSTkBBQ,La France face à la guerre sur TF1 | Les moments forts d’Emmanuel Macron,"Guerre en Ukraine, Europe, École, santé, culture, production… Hier, Emmanuel Macron a présenté sa vision pour la France ...",Emmanuel Macron avec vous,https://www.youtube.com/watch?v=9_0nzc4hR0E,True
