query,video_id,published_at,channel_id,title,description,channel_title,video_url,election_panel
le pen,pIvsQceoSR4,2022-04-10T18:20:04Z,UCrCcpeVQlTCdoOId4yDUsZQ,ÉLÉCTION 2022 - ZAPPING DES RÉACITONS DU 1ER TOUR - MACRON vs LE PEN,Election2022 #Macron #LePen #Melenchon #LFI #Zapping #Zemmour Petit Zapping a l'arrache des premières réactions de ...,Psyhodelik,https://www.youtube.com/watch?v=pIvsQceoSR4,True
le pen,9rr3_POegAA,2022-04-10T18:15:21Z,UCCCPCZNChQdGa9EkATeye4g,"Présidentielle 2022 : &quot;des militants très heureux&quot; au QG de Marine Le Pen, qualifiée au second tour","Près de 48 millions de Français étaient appelés aux urnes, dimanche, pour le premier tour de l'élection présidentielle où douze ...",FRANCE 24,https://www.youtube.com/watch?v=9rr3_POegAA,True
le pen,TuYojeFVdX0,2022-04-10T18:12:37Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,Macron to face far-right Le Pen in French election run-off • FRANCE 24 English,"According to an almost-complete count, Macron beat Le Pen by around 28 percent to 23 percent in Sunday's first-round of voting.",FRANCE 24 English,https://www.youtube.com/watch?v=TuYojeFVdX0,True
le pen,CXCaELqEcNs,2022-04-10T18:07:42Z,UCCCPCZNChQdGa9EkATeye4g,"Présidentielle 2022 : Macron (28,1 %) et Le Pen (23,3 %) qualifiés pour le second tour de l&#39;élection","Près de 48 millions de Français étaient appelés aux urnes, dimanche, pour le premier tour de l'élection présidentielle où douze ...",FRANCE 24,https://www.youtube.com/watch?v=CXCaELqEcNs,True
le pen,RgGeinIIX9o,2022-04-10T18:01:45Z,UCXwDLMDV86ldKoFVc_g8P0g,🔴 Emmanuel Macron et Marine Le Pen s&#39;affronteront au second tour de l&#39;élection présidentielle,Jean-Luc Mélenchon arrive en troisième position du scrutin selon les projections à 20h.,BFMTV,https://www.youtube.com/watch?v=RgGeinIIX9o,True
le pen,9iw6EFOCCDQ,2022-04-10T17:45:00Z,UC_gUM8rL-Lrg6O3adPW9K1g,French Presidential Election 2022: Who is Marine Le Pen? Why is she a controversial figure? | WION,Polling stations have opened across France for the first round of voting of the French presidential election 2022. The second ...,WION,https://www.youtube.com/watch?v=9iw6EFOCCDQ,True
le pen,-ESO6kmLTx4,2022-04-10T16:28:06Z,UCtc-a9ZUIg0_5HpsPxEO7Qg,"Putin&#39;in Dostu Le Pen, Macron&#39;un Ensesinde! Fransa Sandık Başında!","Fransa'da cumhurbaşkanı seçimi için halk oy kullanmaya başladı. 48,7 milyon seçmenin olduğu ülkede ilk turu 10 Nisan'da ...",Haber Global,https://www.youtube.com/watch?v=-ESO6kmLTx4,True
le pen,YBfZDvXOb9I,2022-04-10T15:59:14Z,UCSkzi5Ag6gmuWc_yDA5ff7A,TU VOTES LE PEN ?,RÉSERVE TA PLACE POUR LA TOURNÉE DU SPECTACLE : https://www.sale-francais.fr/ ▻ SWEATS LA MÉDAILLE ...,Greg TOUSSAINT,https://www.youtube.com/watch?v=YBfZDvXOb9I,False
le pen,erlkVZNzSII,2022-04-10T14:22:44Z,UCamgdcs45ToPrIV7wmT7iYg,França elege presidente com Macron e Le Pen como favoritos | AFP,A França começou a decidir neste domingo o novo morador do Palácio do Eliseu pelos próximos cinco anos. O atual presidente ...,AFP Português,https://www.youtube.com/watch?v=erlkVZNzSII,True
le pen,SwjLVRkzGmY,2022-04-10T14:04:59Z,UC9GGzAhhvhJO1hL10-BcgNA,Pourquoi Norman Thavaud a retiré sa dernière vidéo sur Marine Le Pen,"ÉLECTION PRÉSIDENTIELLE - Norman Thavaud a dû retirer la dernière vidéo de sa chaîne Youtube le samedi 9 avril, à la veille ...",LeHuffPost,https://www.youtube.com/watch?v=SwjLVRkzGmY,True
le pen,jaBhxta_J1Q,2022-04-10T13:15:02Z,UCZMsvbAhhRblVGXmEXW8TSA,„Le Pen ist kein Bürgerschreck mehr – Die Rolle wurde ihr abgenommen“ | FRANKREICH WÄHLT,Die rechte Kandidatin Marine Le Pen gilt als Hauptkonkurrentin des amtierenden Präsidenten Emmanuel Macron.,WELT Nachrichtensender,https://www.youtube.com/watch?v=jaBhxta_J1Q,True
